surveyYear,JobTitle__,RoleMultichoice
2020,Data Analyst,Analyst
2020,Data analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,DATA ANALYST,Analyst
2020,Data analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,
2020,data analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,None of these describes my role
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,
2020,Data Analyst,Analyst
2020,Data Analyst / DICES Manager,Analyst
2020,Data Analyst | CEO,"Leadership (Manager, Director, VP, etc.)"
2020,Data Analyst/Information Designer,Developer
2020,Data Analytics,Analyst
2020,Data Analytics Advisor,Analyst
2020,Data analytics and visualization consultant,Analyst
2020,Data Analytics Consultant,Analyst
2020,Data Analytics Manager,Analyst
2020,Data Analytics Manager,"Leadership (Manager, Director, VP, etc.)"
2020,Data analytics manager,Designer
2020,Data Analytics Manager,"Leadership (Manager, Director, VP, etc.)"
2020,Data Analytics Specialist,Analyst
2020,Data and Analytics Administrator,"Leadership (Manager, Director, VP, etc.)"
2020,Data and Analytics Administrator,"Leadership (Manager, Director, VP, etc.)"
2020,Data and Analytics Lead,Analyst
2020,Data and digital innovation director,Analyst
2020,Data and graphics editor,Journalist
2020,Data and visualization journalist,Journalist
2020,Data Architect,Developer
2020,Data Artist,Designer
2020,Data Associate,Analyst
2020,Data Consultant,Analyst
2020,Data consultant,Analyst
